0.5236,-0.6,0,0,-1,-2,0,0,0,0,0,0,0
0.52656,-0.59991,0.0027579,-0.033462,-0.98712,-1.9879,-0.011015,-0.026456,-0.080224,0.083965,-0.032159,0.0359,0
0.52875,-0.59975,0.0048033,-0.060749,-0.97457,-1.9754,-0.022179,-0.047549,-0.13769,0.14811,-0.054129,0.064555,0
0.53037,-0.59957,0.00632,-0.083428,-0.96236,-1.9626,-0.033376,-0.064644,-0.17885,0.19698,-0.069119,0.087258,0
0.53155,-0.59938,0.0074358,-0.10259,-0.9505,-1.9496,-0.044536,-0.07869,-0.208,0.23391,-0.079178,0.10508,0
0.53239,-0.59921,0.0082417,-0.119,-0.93899,-1.9363,-0.055614,-0.090361,-0.22813,0.26135,-0.085665,0.11889,0
0.53296,-0.59905,0.0088039,-0.13323,-0.92784,-1.923,-0.066584,-0.10015,-0.24131,0.28119,-0.089506,0.12938,0
0.53333,-0.59891,0.0091719,-0.14571,-0.91704,-1.9095,-0.077427,-0.10842,-0.24907,0.29483,-0.091352,0.13711,0
0.53352,-0.59879,0.0093828,-0.15674,-0.90659,-1.896,-0.088133,-0.11546,-0.25255,0.30339,-0.091671,0.14252,0
0.53358,-0.59869,0.0094655,-0.16658,-0.89648,-1.8823,-0.098696,-0.12147,-0.25257,0.30775,-0.090802,0.14597,0
0.53352,-0.5986,0.0094425,-0.17542,-0.88671,-1.8686,-0.10911,-0.12663,-0.24981,0.30858,-0.089003,0.14777,0
0.53336,-0.59854,0.0093316,-0.18342,-0.87728,-1.8549,-0.11938,-0.13107,-0.24476,0.30645,-0.086464,0.14815,0
0.53313,-0.59848,0.0091472,-0.1907,-0.86816,-1.8411,-0.1295,-0.1349,-0.23783,0.30181,-0.083336,0.14731,0
0.53283,-0.59844,0.0089007,-0.19736,-0.85937,-1.8272,-0.13947,-0.13821,-0.22934,0.29503,-0.079733,0.14543,0
0.53247,-0.59841,0.0086016,-0.20348,-0.85089,-1.8134,-0.1493,-0.14107,-0.21954,0.28643,-0.075745,0.14263,0
0.53206,-0.59839,0.0082578,-0.20913,-0.84271,-1.7994,-0.15898,-0.14353,-0.20864,0.27625,-0.071444,0.13906,0
0.53161,-0.59839,0.0078757,-0.21438,-0.83483,-1.7855,-0.16853,-0.14566,-0.19682,0.26472,-0.066889,0.13479,0
0.53113,-0.59839,0.0074609,-0.21926,-0.82724,-1.7715,-0.17793,-0.14748,-0.18421,0.25202,-0.062125,0.12993,0
0.53062,-0.5984,0.0070178,-0.22382,-0.81994,-1.7575,-0.18721,-0.14904,-0.17094,0.2383,-0.057191,0.12454,0
0.53008,-0.59842,0.0065505,-0.2281,-0.81291,-1.7435,-0.19635,-0.15037,-0.15711,0.22369,-0.052118,0.1187,0
0.52951,-0.59844,0.0060622,-0.23211,-0.80614,-1.7294,-0.20537,-0.15149,-0.1428,0.20832,-0.04693,0.11245,0
0.52893,-0.59848,0.0055559,-0.2359,-0.79965,-1.7154,-0.21427,-0.15243,-0.12808,0.19228,-0.041648,0.10585,0
0.52833,-0.59851,0.005034,-0.23948,-0.79341,-1.7013,-0.22305,-0.1532,-0.11302,0.17567,-0.036291,0.098939,0
0.52772,-0.59855,0.0044986,-0.24288,-0.78742,-1.6872,-0.23172,-0.15382,-0.097658,0.15854,-0.030873,0.091755,0
0.52709,-0.5986,0.0039516,-0.2461,-0.78167,-1.6731,-0.24027,-0.15431,-0.08205,0.14098,-0.025406,0.084332,0
0.52646,-0.59865,0.0033946,-0.24917,-0.77616,-1.659,-0.24872,-0.15467,-0.066231,0.12303,-0.0199,0.0767,0
0.52581,-0.59871,0.0028291,-0.25209,-0.77089,-1.6449,-0.25707,-0.15493,-0.050235,0.10476,-0.014364,0.068885,0
0.52516,-0.59876,0.0022563,-0.25489,-0.76584,-1.6308,-0.26531,-0.15509,-0.034092,0.0862,-0.0088038,0.060911,0
0.5245,-0.59882,0.0016774,-0.25756,-0.76102,-1.6166,-0.27347,-0.15516,-0.017827,0.0674,-0.0032269,0.0528,0
0.52383,-0.59889,0.0010932,-0.26013,-0.75642,-1.6025,-0.28153,-0.15515,-0.0014621,0.048393,0.0023622,0.044569,0
