0.5236,-0.5,0,0,0,0,0,0,0,0,0,0,0
0.52227,-0.50002,-0.0010714,-0.032933,-0.00057253,-0.0058435,-0.010434,0.029746,0.032904,-0.033711,0.011399,-0.012206,0
0.52494,-0.49646,0.0012096,0.090067,0.12243,0.11716,0.11257,0.15275,0.01669,0.089289,0.081529,0.11079,0
0.52379,-0.49766,0.00015589,0.099868,0.15048,0.036827,0.14397,0.13701,0.022915,0.032598,0.069206,0.072651,0
0.52236,-0.50153,-0.0011556,0.11139,0.17028,-0.045401,0.1858,0.11993,-0.01953,-0.088197,0.0036329,-0.025016,0
0.52084,-0.50524,-0.0025565,0.12469,0.10859,0.048561,0.1332,0.10127,-0.055783,-0.20808,-0.057263,-0.12025,0
0.51924,-0.50859,-0.0040421,0.14008,0.14699,-0.069935,0.19327,0.080714,-0.08196,-0.32286,-0.10949,-0.20898,0
0.51764,-0.5108,-0.0055309,0.15783,0.079053,0.048321,0.12321,0.057868,-0.084145,-0.4137,-0.13764,-0.27385,0
0.51575,-0.51399,-0.0072811,0.17875,0.13118,0.17132,0.19882,0.032236,-0.099278,-0.53304,-0.1833,-0.36268,0
0.51456,-0.51494,-0.008382,0.189,0.16199,0.085256,0.23219,0.016195,-0.086316,-0.58581,-0.18972,-0.39607,0
0.51302,-0.5176,-0.0097899,0.20063,0.19915,-0.027107,0.28581,-0.00077399,-0.10025,-0.6839,-0.22852,-0.46928,0
0.51192,-0.51653,-0.0050156,0.21408,0.14132,0.041808,0.25345,-0.018791,-0.16042,-0.5609,-0.32439,-0.34628,0
0.5108,-0.51495,-0.00075668,0.22888,0.17497,-0.078117,0.31879,-0.038023,-0.19864,-0.4379,-0.39882,-0.22328,0
0.50885,-0.51737,-0.0025522,0.24487,0.10207,0.044883,0.24466,-0.058635,-0.19604,-0.54255,-0.42787,-0.29628,0
0.51503,-0.51829,-0.0015125,0.26321,0.15333,0.16788,0.32762,-0.080936,-0.21689,-0.41955,-0.4895,-0.41421,0
0.51353,-0.5194,-0.0028798,0.27401,0.18867,0.070705,0.36679,-0.097277,-0.19948,-0.48389,-0.49627,-0.45437,0
0.51929,-0.51991,-0.0018079,0.28632,0.22461,-0.046158,0.42538,-0.11431,-0.21499,-0.36089,-0.5471,-0.55346,0
0.51795,-0.5182,0.0023291,0.3001,0.15565,0.052394,0.37383,-0.13226,-0.24436,-0.23789,-0.62012,-0.43046,0
0.52404,-0.51901,0.0032545,0.31487,0.19369,0.17539,0.44016,-0.15109,-0.25902,-0.11489,-0.67854,-0.5486,0
0.52238,-0.52029,0.0017401,0.32503,0.23005,0.074908,0.48061,-0.16696,-0.24048,-0.18701,-0.6869,-0.59382,0
0.52814,-0.52076,0.0026781,0.33662,0.26239,-0.034869,0.53474,-0.18331,-0.25043,-0.064012,-0.73658,-0.69747,0
0.52657,-0.51907,0.00683,0.34962,0.20705,0.031054,0.50124,-0.20033,-0.2768,0.058988,-0.81384,-0.57447,0
0.5249,-0.5173,0.010901,0.36358,0.21977,-0.049466,0.54649,-0.21796,-0.29802,0.18199,-0.88944,-0.45147,0
0.52326,-0.51515,0.014588,0.37822,0.14819,0.057606,0.48883,-0.23624,-0.30372,0.30499,-0.94821,-0.32847,0
0.52889,-0.51537,0.015112,0.39355,0.19122,0.18061,0.55608,-0.25523,-0.29402,0.42799,-0.98939,-0.43882,0
0.52698,-0.51638,0.013371,0.40447,0.2281,0.082189,0.59382,-0.27173,-0.26311,0.35466,-0.98944,-0.48119,0
0.53233,-0.51634,0.013977,0.41683,0.26304,-0.02849,0.64613,-0.28864,-0.25247,0.47766,-1.024,-0.57714,0
0.53047,-0.51426,0.017737,0.43078,0.21504,0.023604,0.61905,-0.3061,-0.2575,0.60066,-1.0896,-0.45414,0
0.52849,-0.51209,0.021411,0.44556,0.22011,-0.038563,0.65355,-0.32406,-0.25717,0.72366,-1.1533,-0.33114,0
0.52653,-0.50965,0.024819,0.46097,0.15856,0.04669,0.60766,-0.34255,-0.24595,0.84666,-1.2056,-0.20814,0
0.53214,-0.50977,0.025022,0.47691,0.19328,-0.06856,0.6664,-0.3616,-0.22232,0.96966,-1.2427,-0.32758,0
0.53702,-0.50911,0.025145,0.49321,0.12073,0.05444,0.5928,-0.38138,-0.18371,1.0927,-1.2585,-0.41741,0
0.54207,-0.50858,0.025161,0.51066,0.16911,0.17744,0.66154,-0.40192,-0.14315,1.2157,-1.2777,-0.51771,0
0.53997,-0.50909,0.023243,0.52321,0.20494,0.086795,0.69362,-0.41989,-0.096276,1.1477,-1.2649,-0.5516,0
0.54468,-0.50826,0.023469,0.53723,0.24178,-0.020037,0.74128,-0.43823,-0.059132,1.2707,-1.277,-0.63053,0
0.5425,-0.50553,0.026575,0.55313,0.20381,0.015733,0.72162,-0.45704,-0.031659,1.3937,-1.3201,-0.50753,0
0.54025,-0.50268,0.029568,0.56976,0.20297,-0.027829,0.7446,-0.4763,0.0018304,1.5167,-1.3596,-0.38453,0
0.53802,-0.49964,0.032367,0.58693,0.15492,0.033295,0.71053,-0.49601,0.043155,1.6397,-1.3906,-0.26153,0
0.5432,-0.49919,0.032122,0.60455,0.1784,-0.054493,0.75431,-0.51621,0.092524,1.7627,-1.4109,-0.3761,0
0.54774,-0.49808,0.031895,0.6223,0.11636,0.050725,0.69109,-0.53702,0.15135,1.8857,-1.4134,-0.4618,0
0.55214,-0.49679,0.031609,0.64071,0.15811,-0.06538,0.74593,-0.55843,0.21511,2.0087,-1.411,-0.54277,0
